content,label
"Chất lượng sản phẩm tuyệt vời , có điều mã gửi chậm quá hơn 12 tiếng mới có mã thẻ",1
"Hơi mặn, nhưng vẫn chấp nhận đc!",0
giáo trình hợp lý .,2
mini test trong cả khóa học nhiều hơn .,0
Rất đáng tiền,2
Mình rất thích,2
Chất lượng đồ bình thường nhưng shop ghi tên đồ mua là gì lên kiện hàng làm mình dị vs shipper dã man,1
Chất lượng sản phẩm tuyệt vời,2
Bị giao nhầm hàng quần nhưng quần này cũng OK.chất lieuj vải co dãn.vải dày dặn,0
Chất lượng sản phẩm rất kém Shop phục vụ rất kém Đã phản hồi song shop không chủ động liên lạc lại,0
Hihi,1
Kiểu dáng đẹp,2
giảng viên dạy dễ hiểu .,2
"Shop bán sim lừa đảo ,in giấy đăng ki làm theo cú pháp DK gói vd89p ,mất 89k cuối cùng đăng kí cho số dt khác là sao ,làm ăn gì kì cục vậy",0
"giảng viên nhiệt tình , truyền đạt nhiều kiến thức thực tế .",2
"kết thúc môn học , sinh viên không được chạm tay sử dụng bất kỳ phần mềm nào được giới thiệu .",0
"giảng viên tận tâm , nhiệt tình hỗ trợ sinh viên học tập , làm đồ án .",2
"chia nhỏ bài tập về nhà để cộng điểm cho sinh viên , vừa giúp sinh viên làm và hiểu nhuần nhuyễn và tránh tình trạng rớt đồng loạt .",0
"cập nhật liên tục những công nghệ mới , không giảng dạy những công nghệ đã quá cũ trang thiết bị thực hành cần hoàn thiện .",0
giảng dạy hay thầy rất nhiệt tình slide bài giảng thầy chuẩn bị tốt .,2
xin cảm ơn !,1
"thầy dạy rất hay , nhiệt tình và dễ hiểu .",2
Đáng đồng tiền Thời gian giao hàng nhanh,2
Hàng xấu giao hàng lâu hộp thì móp méo,0
Xấu quá shop ơi,0
"sự tận tâm , nhiệt tình của giảng viên giúp truyền đạt kỹ năng , kiến thức một cách tốt nhất .",2
Ủng hộ shop dài dài,2
"sự tận tâm , nhiệt tình , đảm bảo thời gian và kiến thức cho sinh viên .",2
"cười duyên , rất tốt với học sinh .",2
đảm bảo giờ giấc lên lớp .,2
Sản phân rất ưng ýe nhé❤️,2
Ưng lắm cảm ơn shop nhiu nha,2
ít thực tế .,0
"Áo nhẹ, mặc mát, thoải mái lắm ạ 😘",2
thực hành xong ít nhất 3 tuần lý thuyết mới học tới nên em có ý kiến nên phân bổ lại thời gian thực hành hoặc chọn nội dung thực hành cho phù hợp với tiến độ lý thuyết trên lớp .,0
Biết đẹp thế mình mua thêm cái màu đỏ nữa 😊😊😊😊,2
Good,2
"thầy hơi khắc khe , nhưng đây không ghép hoàn toàn vào mục này .",0
"nội dung thực hành nên có tính gợi mở và giáo viên hướng dẫn sinh viên làm , chứ cho bài thực hành kiểu như sắp xếp cứ làm y như vậy là được , nhưng chả hiểu nó từ đâu đến và nằm ở đâu .",0
"thay vì thế , giảng viên nên tập trung vào các công nghệ được ngôn ngữ lập trình hỗ trợ và cách sử dụng chúng hiệu quả , việc hướng dẫn lập trình nên đưa vào các buổi thực hành .",0
Áo đường may không đc đẹp lắm.nhưng với giá tiền thì chấp nhận được,2
thầy luôn tạo cơ hội để sinh viên có thể được thực hành .,2
"Chất lượng sản phẩm tuyệt vời, chất len dầy dạn, nói chung rất ưng cái bụng",2
"Tạm được, xem youtube hơi bị giật mà mạng wifi mình khỏe, có j review lại sau",1
"Chất lượng sản phẩm tuyệt vời, shop phục vụ tốt, lần sau sẽ tiếp tục ủng hộ shop",2
"thầy tích cực lên lớp , không nghỉ buổi nào .",2
Các bạn đặt hàng nên tăng 1 size,2
Nét mảnh dễ kẻ,2
Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Rất đáng tiền Thời gian giao hàng rất nhanh.Áo mặc đẹp lắm,2
"sử dụng thư viện của standford , dùng các câu lệnh trong đó để áp dụng vào việc phân loại văn bản .",2
Nhắn shop cho 2 màu khác nhau cuối cùng thành ra 2c giống nhau Chất lượng sản phẩm tạm được,2
Hơi to b ạ,0
"thầy dạy hài hước , tận tâm trước các vấn đề về học tập cũng như việc làm của sinh viên .",2
Chất lượng sản phẩm tuyệt vời Thời gian giao hàng rất nhanh,2
Không cho vào và kéo ra được,1
Shop phục vụ rất tốt Chất lượng sản phẩm tuyệt vời Rất đáng tiền Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh,2
Chất vải được,2
Balo đẹp chất vải tốt <3,2
Lần sau mình sẽ ủng hộ shop thêm nữa,1
"K ưng sản phẩm này lắm nhưng vs giá tiền vậy thì cũng chấp nhận đc, tuy nhiên k dùng nhiều đc",1
cô dạy nhanh .,0
Có một vài sợi len thừa ra cắt đi là được,2
Shop phục vụ rất tốt Shop phục vụ rất tốt,2
Trên mác size 34 nhưng size thực là 36 nên bị rộng rồi,1
tạm tạm .,1
"Đóng gỏi không cẩn thận, shop nên đong hộp cứng đỡ bị móp bẹp túi",0
thầy dạy rất kỹ .,2
"túi đẹp, chắc chắn, rất đáng tiền, shop nói chuyện dễ thương nhiệt tình",2
ít cho học sinh luyện kỹ năng nghe nói .,0
Chất vải dày dặn,1
Shop tư vấn side cực chuẩn,2
hướng dẫn cách tiếp cận bài mới khó hiểu .,0
cũng bình thường .,1
Áo vải đẹp.Hơi lỗi ở lai áo.Đặt 3 cái 3 màu mà Shop giao 2 cái giống nhau,1
Giao hàng nhanh,2
"Hai màu mua hai chất liệu vài khác nhau , ng bán ko nhiệt tình tư vấn lắm noi chung chưa dc hài lòng",0
Áo đẹp đúng hình,2
giao nhiều bài tập để luyện tập .,2
cô đi công tác hơi nhiều .,0
Order k có hàng mà k báo cho khách hàng,1
Chất lượng sản phẩm tuyệt vời,2
"Thoii e ko mua nữa đâu, shop bán đồ đẹp mua nhiều tốn tiền lắm",2
Mặc k thoải mái,0
luôn luôn nguyên tắc và tương tác tốt đối với sinh viên .,2
"Vải mịn đẹp, quần co giãn tốt, Shop phục vụ rất tốt Rất đáng tiền",2
Nói chung là ưng,2
Được vs giá tiền nha mn hàng ổn trừ cái cổ áo thì ổn hơi nhăn,2
"Áo này có tấm lót mỏng và phẳng lì, mặc vô nhìn như mặc áo thể thao á, nhưng chất ren rất mịn đẹp",2
Chất lượng sản phẩm tạm được Đóng gói sản phẩm kém Thời gian giao hàng chậm Giá cả chấp nhận được Shop phục vụ tạm được,0
Ok 5*,2
nên nhiệt tình hơn .,0
"Đóng gói sản phẩm rất kém, Shop phục vụ rất kèm, Chất lượng sản phẩm tạm được",0
thường xuyên nghỉ không báo trước không báo lên da hoặc báo với sinh viên .,0
Đóng gói sản phẩm chắc chắn,2
các hoạt động giảng dạy trên lớp của cô khá phong phú và hay .,2
chất vải dày và nóng,0
Giao hàng rất nhanh,2
Vs tôi đánh giá 4 sao cho shop vậy,1
"Mua 5 cái thì cái này mình ưng nhất, sẽ ủng hộ shop lần sau",2
Thanks Shop,2
phòng học cần phù hợp với số lượng sinh viên .,0
Sản phẩm đẹp,2
thầy chưa chú trọng đến nội dung cũng như cách truyền đạt cho sinh viên .,0
Mùi vải hôi lắm,0
Quần mỏng,0
Tạm đc thân áo hơi nhỏ,1
Đường chỉ k quá thô,2
em không có ý kiến về mục này .,1
"giảng dạy nhiệt tình , cập nhật bài giảng , điểm số nhanh .",2
Size nhỏ,0
Chất lượng sản phẩm tuyệt vời,2
Hơi mỏng 1 chút mà không sao,1
Shop phục vụ rất tốt,2
"quan tâm , tận tình giúp đỡ sinh viên .",2
Shop phục vụ quá kém,0
bù lại cách chấm điểm sẽ đặt nặng phần hiểu vấn đề hơn như thầy wzjwz119 đã từng trình bày .,0
"Chất vải dày dặn, giao hàng nhanh, rất hài lòng về shop",2
"giảng viên dạy nhiệt tình , kiến thức truyền đạt cho sinh viên gần với thực tế cuộc sống , phản ánh đời sống xã hội , slide dễ hiểu , giảng viên hài hước .",2
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất chậm Thời gian giao hàng rất chậm,1
giảng còn nhiều lúc khó hiểu .,0
thanks !,1
Tuyệt vời,2
nên có thêm ví dụ cụ thể của giảng viên cho từng dạng toán thay vì chỉ sửa bài tập của sinh viên .,0
Thời gian giao hàng nhanh Chất lượng sản phẩm tốt,2
Vải xấu và mỏng,0
Áo Hàng đẹp,2
Mong lần sau k bị hớ nữa,0
Áo thấy ghớm ❤,0
"giảng viên ít dạy từ mới , cấu trúc ngữ pháp vdotv .",2
"Chất lượng sản phẩm tuyệt vời, shop phục vụ rất tốt",2
giáo viên luôn nhiệt tình và gần gũi .,2
Mua nhiều được tặng quà xinh xinh,2
"Khuy Áo may ẩu, chỉ dư rất nhiều!",0
Màu sắc đáng yêu lắm :),2
"giảng kỹ , dễ hiểu .",2
"thầy giảng dạy nhiệt tình , biết cách truyền cảm hứng nghiên cứu khoa học cho sinh viên .",2
"cô giảng dạy tận tình , nhiệt huyết .",2
"Áo rất đẹp, mình rất ưng ý",2
Áo đẹp,2
Hàng y hìn,2
kiến thức chưa nhiều .,0
"giảng viên vui vẻ , hòa đồng với sinh viên , tạo cảm giác hứng thú học tập hơn .",2
Chất vải dày dặn form rộng,2
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh Rất đáng tiền,2
"Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh, hình thú trên túi áo là hình thêu đẹp lắm ạ",2
Sản phẩm chất dày dặn,2
"Chất lượng sản phẩm tạm ổn , hàng thực tế ko hoàn toàn giống trong ảnh",1
Hàng đẹp,2
"thầy tận tâm , nhiệt tình , giúp đỡ sinh viên , sẵn sàng giải đáp thắc mắc của sinh viên .",2
Đóng gói hàng rất đẹp,2
"thầy dạy nhiệt tình , vui tính , bài tập tuy cơ bản nhưng rất thâm thúy .",2
Chất vải đẹp nhưng đường may k đẹp lắm,2
K dc chắc chắn lắm mấy cái gài để móc dây vào túi để đeo đều lỏng lẻo và tụt ra,0
Sẽ ủng hộ shop dài dài Thời gian giao hàng rất nhanh,2
"áo y hệt hình mẫu, chất lượng vải tốt, có vẻ không co giãn lắm",2
cách làm bài của thầy dễ hiểu rõ ràng .,2
"thầy truyền đạt kiến thức rất hay , và dễ hiểu .",2
Áo bị may dúm 1 bên mặc thật bực mình chẳng ra sao hết,0
Chất lượng sản phẩm tuyệt vời,2
Lần đầu tiên mua hàng thảm hoạ,0
"giảng dạy dễ hiểu , đầy đủ .",2
Nhưng hơi nhiều chỉ thừa,0
Chất lượng sản phẩm tuyệt vời hơn nữa shop phục vụ rất tốt còn tặng kèm quà <3 ưng vô cùng,2
Mang êm chân,2
Chất lượng sản phẩm tuyệt vời Quần chất dày dặn thích lắm nha sẽ ủng hộ shop dài dài lun,2
Chất lượng sản phẩm rất kém Rất không đáng tiền,0
Thích mua đồ của shop dã man,2
Mặc lên bánh bèo rất ưng 😍 sẽ còn ủng hộ,2
"Áo màu lên đẹp, rất sáng",2
Rất ưng ý,2
Giá cũng rẻ nên kb chất lượng ntn,2
Áo rất đẹp,2
Chất lượng sản phẩm tuyệt vời..,2
"thầy giảng dạy rất nhiệt tình , kiến thức sâu rộng .",2
Shop giao không đúng hàng,1
"đề nghị trang bị thiết bị vật chất tốt hơn doubledot quạt , máy chiếu .",0
"Áo như áo bà ba ấy, mềm, không được như ảnh =(",0
"Nhìn chung khá ưng, chất lượng tương xứng với giá tiền :*",2
trong giờ học thầy cứ đi lên đi xuống và nói thao thao bất tuyệt .,0
cô dạy tốt tính và dễ hiểu !,2
"hướng dẫn , giảng dạy .",1
"Ai mua nên cộng thêm size nha, xa quá ko muốn đổi",0
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Rất đáng tiền Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh,2
cần cung cấp tài liệu bài giảng đầy đủ ngay từ những ngày đầu bắt đàu học .,0
"Áo đẹp, ôm dáng, mặc rất thích, chất lượng phù hợp với giá tiền 👍🏻👍🏻👍🏻",2
Nói chung là rất hài lòng về shop,2
Áo giống hình vải đẹp xuất sắc ❤❤❤,2
Áo quá bé và ngắn so với hình ảnh,0
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền💖💖💖,2
áo ok,2
"Mùi dễ chịu, chỉ tiếc là mỗi lần rút ra lại dính vào nhau, khó lấy từng tờ nên hơi bất tiện mỗi khi dùng 1 tay",2
"Đặt 4 áo, shop giao sai màu 3 áo",0
Cực kỳ ưng ý với chất lượng sản phẩm và hài lòng về sự chu đáo của shop,2
Thời gian giao hàng nhanh Túi hơi nhỏ,1
Vẫn cho shop 5 sao,2
nên trang bị kiến thức nền vững chắc cho những môn chuyên ngành .,0
"Thời gian giao hàng rất nhanh, hậu mãi tốt",2
"Chất đẹp, mặc thoải mái , form cũng đẹp",2
Nghĩ mặc ko vừa ai ngờ đẹp lắm luôn,2
Mùi len hơi nặng đã giặt nhưng vẫn còn nặng mùi,0
Mãi iuuuu 😘😘😘,2
"cô giảng bài quá nhanh , nhiều sinh viên đã bỏ cuộc khi bài bị lướt quá nhanh .",0
thời gian làm bài tập còn hơi dài .,0
"Lần hai mua ở shop, rất ưng",2
cải tiến trang thiết bị phòng thực hành .,0
bài giảng của thầy rất nhiệt tình .,2
"Chân váy đẹp, chất vải tốt chưa biết có ra màu không Mua hàng ở shop nhiều lần đều ưng ý hàng có hư hỏng gì shop cũng hỗ trợ hết mình Thời gian giao hàng rất nhanh mất tầm 2 ngày là có hàng",2
em muốn môn học gần với thực tế qua các ví dụ .,0
thêm bài tập logic .,0
Nhất định tiếp tục ủng hộ!!,2
1 quần chật ko mặc được,1
Trong đầu kêu đặt màu đen trơn,1
giáo viên thường xuyên cho bài tập về nhà để nghiên cứu .,2
vải đẹp Rất đáng tiền,2
"Chất lượng sản phẩm tạm được,",1
Áo đẹp y hình luôn ạ 😚,2
"nhiệt tình , dễ hiểu , dễ thương .",2
1Không đc dày như ảnh,2
dùng ok lăm nhé,2
cho điểm khách quan .,2
"giảng viên truyền đạt tốt , rất dễ hiểu .",2
"Chất lượng sản phẩm tuyệt vời, balo đẹp chắc chắn, chất liệu da đẹp hơn trong hình khiến mình thực sự bất ngờ với mức giá rẻ",2
"Vải mỏng, shop giao hàng mà ko đối chiếu đơn hàng của khách hàng dẫn tới việc giao ko đúng size khách cần",0
Quá hài lòng về sản phẩm !,2
"Bề ngoài nhìn gọn gàng chắc chắn, về chất lượng thì đi 1 thời gian mới biết được",1
sẵn sàng giải đáp tận tình mọi thắc mắc của sinh viên khi được hỏi .,2
"có nhiều vấn đề còn khó hiểu , khó tiếp cận .",0
"Mình mua màu đen mà giao màu da , hơi buồn tí",0
"giảng viên có khả năng truyền đạt , liên hệ thực tiễn giảng viên nhiệt tình , tận tâm .",2
thầy theo chế độ trọng nam khinh nữ doubledot các câu hỏi dành cho nữ nhiều hơn dành cho nam .,0
"Đẹp lắm luôn ạ, cám ơn shop nhiều nha 💋",2
Chất lượng tốt mà hơi rộng mà thôi cho shop 5 sak,2
"Đủ hàng, đúng mẫu đã đặt, rất tốt",2
thầy là giảng viên đầu tiên mà em đánh giá điểm 4 ở gần như tất cả các mục .,2
Đóng gói sản phẩm rất đẹp và chắc chắn,2
tạm chấp nhận tuy không giống hình là mấy,1
"giảng viên giảng dạy nhiệt tình , nội dung giảng dạy đầy đủ , ôn tập sát với nội dung kiểm tra .",2
Giao hàng rất nhanh và đóng gói rất cẩn thận,2
Tạm ổn,2
Chất lượng sản phẩm tuyệt vời,2
Chất lượng sản phẩm tuyệt vời,2
"Vải thoáng mát, ít nhăn",2
Cảm mơn shop đã tặng quà nữa chứ,2
cô có cách dạy hay dễ hiểu tận tình .,2
Đúng hàng loại 1 có khác từ cách đóng gói đến chất lượng sản phẩm quá tốt,2
giọng hơi khó nghe .,0
Shopee giao hàng lâu ><,2
"mà hiện tại trường ta chưa có , đây là thiệt thòi lớn đối với tụi em .",0
giảng hơi khó hiểu .,0
em không có ý kiến gì thêm .,1
Áo gì thun mỏng còn hơn giấy,0
Giày xinh cực luôn 😘😘😘,2
Tay áo hơi xấu,0
"em đã nán lại thêm nhưng thầy đi qua đi lại bảo 2 , 3 lần nên em đã về .",0
"Bạn shop dễ thương, giao hàng nhanh, quần vải mềm, co giãn nhiều, mình mua xanh đậm cảm giác màu ko giống hình mẫu lắm",1
Áo đẹp nhưng size khá nhỏ với nam,1
nhiệt tình giúp đỡ với sinh viên .,2
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Rất đáng tiền Thời gian giao hàng rất nhanh,2
Vải xấu,0
cần nhiều bài tập hơn .,0
Chất lượng sản phẩm tuyệt vời Rất đáng tiền,2
"cô dạy tận tâm , nhiệt tình , giúp đỡ sinh viên .",2
Hang ko dong Hình,1
"Mặc dù bình thường đều mang 35, nhưng sp rất xinh 💯",2
Sim đã kích hoạt 20 ngày trước rồi,0
thầy wzjwz198 giảng dạy rất nhiệt tình và đầy đủ .,2
giày đẹp và đi thích lắm ạ😆❤️,2
"Áo đẹp lắm ah.vải rất ok,giao hàng nhanh",2
thời gian thực hành cần nhiều hơn .,0
không nên giao bài tập cho sinh viên rồi để sinh viên trên lớp tự làm bài trong một khoảng thời gian lâu .,0
giảng viên còn thiếu kinh nghiệm truyền đạt .,0
Hàng tốt Chất lượng sản phẩm tuyệt vời,2
"thầy dạy rất tốt , em cho 10 điểm .",2
Đóng gói sản phẩm chắc chắn,2
Shop phục vụ rất tốt Đóng gói sản phẩm rất đẹp và chắc chắn,2
"đàn đẹp, giao hàng đủ nhưng shop chưa phục vụ tốt lắm nhắn tin nhiều nhưng ko rep lại, shop lưu ý nhé",1
"Chất lượng sản phẩm tuyệt vời, màu lên siu đẹp lại thơm thơm nữa chứ",2
"cô rất nhiệt tình , vui tính , biết quan tâm học sinh .",2
"thầy dạy nói rất nhanh , khó hiểu .",0
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Rất đáng tiền Thời gian giao hàng rất nhanh.,2
hơi cứng nhắc trong vấn đề này .,0
Chật đùi,0
"cung cấp phương pháp học tập hiệu quả , thân thiện , vui vẻ với sinh viên .",2
"Chất lượng sản phẩm tuyệt vời ..mình mua cho vk .bây giờ mình mới xem vãi có tốt hay k ..vãi mát màu & đầm giống như hình .., Rất đáng tiền",2
khả năng truyền đạt chưa cao .,0
"Sp ok, chỉ là số nó hơi nhỏ so với mình, m chọn loại lớn nhất rồi nhưng mặc vẫn chật",1
Hamg giao màu đúng theo yêu cầu,2
"Hàng giống hình, form body ôm như shop đã tư vấn",2
"giảng dễ hiểu , vui tính và rất thân thiện với sinh viên .",2
8/10 hợp với giá tiền,2
"Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt, tặng cả tất với lót gót siêu nữa",2
❤❤👍😍,2
Màu 4 tối hơn ảnh :(,0
Sẽ ủng hộ shop lâu dài,2
"mong thầy giảm độ khó của đề thi lại thầy ơi hu hu em sắp rớt môn đến nơi rồi ạ , đề thi giữa kỳ bài cơ bản để lấy điểm thì số điểm lại ít , còn các bài khó thì thầy cho nhiều điểm quá nên lớp khá nhiều bạn dưới trung bình trong kỳ thi vừa rồi à colonsad .",0
Balo ok mà con móc khóa lại thiếu 1 chân :(,1
thầy nói tiếng khá khó nghe và không sử dụng micro nên em không thể hiểu toàn bộ những điều thầy nói .,0
thầy giảng bài rất hay .,2
Áo bị mốc,0
Giao mã hàng nhanh,2
Chất lượng sản phẩm có vẻ ổn so với giá,2
Mỗi tội rộng vãi nhái,0
Giá cả hạt zẻ :)),2
Lỗi,0
Áo đẹp from rộng chất vải rất là đẹp luôn ý 😍😍 sẽ ủng hộ shop lâu dài,2
chưa dạy cách để áp dụng môn học vào thực tiễn .,0
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền.e sợ ko kịp 30/4 sinh nhật e cơ hihi,2
thầy rất tận tình với sinh viên .,2
cung cấp công cụ giảng dạy tốt hơn .,0
"Giá cả cũng hợp lí nữa, chất đẹp thật sự luônnn",2
Giao hàng nhah và sản phẩm ok,2
thầy hài hước .,2
Sẽ ủng hộ shop dài lâu ạ,2
"Giao hàng hơi lâu nhg bù lại sp rất ok so vs giá sale 69k, vải sờ thích lắm ạ",2
"Vải hơi mỏng , không giống trong hình",0
"phần thực hành còn sơ sài , chưa hỗ trợ tốt cho lý thuyết .",0
giày đẹp,2
Chất liệu vải tốt,2
Tay áo hơi rộng chút thôi,2
Túi thì ok,2
Dù sao cũng ủng hộ shop,1
"giáo viên nhiệt tình , đổi mới phương pháp dạy .",2
chất lượng ok trong tầm giá,2
minh bi do 1 hop khi gui,0
Đóng gói bị rất lồi cả bỉm ra ngoài,0
"Áo y hình, chất mềm mại Thời gian giao hàng rất nhanh Rất đáng tiền Shop phục vụ rất tốt",1
Sản phẩm lỗ,0
"bông tai đẹp như hình, Chất lượng sản phẩm tuyệt vời",2
"phương pháp học khiến sinh viên phải chủ động , em đã cải thiện rất nhiều khả năng nói của bản thân .",2
giảng viên liên tục bỏ buổi dạy mà không có lý do .,0
Chất lượng sản phẩm tuyệt vời Rất đáng tiền Đóng gói sản phẩm rất đẹp và chắc chắn,2
Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền,2
chưa nêu bật được ứng dụng thực tiễn của môn học .,0
Mua bỉm của shop lần 2 và lần nào cũng ưng.sẽ ủng hộ dài luôn 😚😚,2
Chất vải đẹp,1
dạy nhiều kiến thức ngoài hữu ích .,2
sáo rỗng .,0
Chất lượng sản phẩm tuyệt vời,2
Sẽ ủng hộ Shop dài,2
"thầy nhiệt tình , vui tính , truyền đạt hay .",2
"Hàng xinh, size 35 hơi to hơn Bth mang cứ như size 36 í :< cơ mà K sao giao hàng siu nhanh, hãy đặt hàng của Shop nha có khi đc free ship nữa :)))",2
thầy thường xuyên theo dõi sinh viên trong quá trình thực hành và giải đáp thắc mắc rất hợp lý .,2
Chị chủ shop rep tin nhắn lịch sự lắm í....,2
Hàng đẹp nha,2
"Thời gian giao hàng rất nhanh đủ số lượng và viên tặng kèm, còn chất lượng phải trồng mới đánh giá tiếp đc",2
"Chất lượng sản phẩm tuyệt vời, Shop phục vụ rất tốt tư vấn rất nhiệt tình, rất ưng, đc tặng móc khóa nữa, Rất đáng tiền",2
Đàm rất đẹp,2
Áo có vết,0
Giao hàng ko đúng,0
"giáo viên luôn tạo điều kiện cho sinh viên luyện nói tiếng anh tại lớp , giải thích về bài học , ngữ pháp , từ mới vào đầu giờ .",2
"thầy tận tâm , giảng bài dễ hiểu .",2
"giảng viên vui tính , tận tình chỉ bảo .",2
